datetime,count
2011-01-20 00:00:00,13.495
2011-01-20 01:00:00,5.22
2011-01-20 02:00:00,3.79
2011-01-20 03:00:00,2.86
2011-01-20 04:00:00,2.66
2011-01-20 05:00:00,6.343333333333333
2011-01-20 06:00:00,35.92
2011-01-20 07:00:00,105.42
2011-01-20 08:00:00,239.06
2011-01-20 09:00:00,136.2
2011-01-20 10:00:00,59.5
2011-01-20 11:00:00,61.21
2011-01-20 12:00:00,79.65
2011-01-20 13:00:00,71.26
2011-01-20 14:00:00,76.6
2011-01-20 15:00:00,85.7
2011-01-20 16:00:00,94.76
2011-01-20 17:00:00,205.03
2011-01-20 18:00:00,178.19
2011-01-20 19:00:00,102.01
2011-01-20 20:00:00,72.57
2011-01-20 21:00:00,52.95
2011-01-20 22:00:00,46.35
2011-01-20 23:00:00,25.28
2011-01-21 00:00:00,13.665833333333332
2011-01-21 01:00:00,6.96
2011-01-21 02:00:00,4.7545
2011-01-21 03:00:00,2.086
2011-01-21 04:00:00,2.36
2011-01-21 05:00:00,4.53
2011-01-21 06:00:00,35.07
2011-01-21 07:00:00,100.08
2011-01-21 08:00:00,206.89
2011-01-21 09:00:00,129.74
2011-01-21 10:00:00,51.11
2011-01-21 11:00:00,63.49
2011-01-21 12:00:00,70.17
2011-01-21 13:00:00,64.71
2011-01-21 14:00:00,61.26666666666666
2011-01-21 15:00:00,60.61
2011-01-21 16:00:00,81.16
2011-01-21 17:00:00,143.89
2011-01-21 18:00:00,146.5
2011-01-21 19:00:00,99.355
2011-01-21 20:00:00,64.91
2011-01-21 21:00:00,43.63
2011-01-21 22:00:00,32.23
2011-01-21 23:00:00,21.07
2011-01-22 00:00:00,25.24
2011-01-22 01:00:00,21.51
2011-01-22 02:00:00,14.56
2011-01-22 03:00:00,7.26
2011-01-22 04:00:00,2.77
2011-01-22 06:00:00,2.88
2011-01-22 07:00:00,14.410833333333333
2011-01-22 08:00:00,23.290000000000006
2011-01-22 09:00:00,35.05083333333333
